Source data: /Users/nancyhd/Documents/Logomatic/Outputs/LOG01.bin
ADC, Accel X, Accel Y, Accel Z
1814,-0.0166,1.999,-0.9375
1815,-0.1641,1.999,-0.9307
1814,-0.0869,1.999,-0.9854
1814,-0.3213,1.999,-0.9004
1815,-0.3447,1.999,-0.9541
1815,-0.3203,1.999,-0.8848
1815,-0.3008,1.999,-0.9209
1815,-0.5508,1.999,-0.5508
1815,-0.3994,1.999,-0.6572
1815,-0.3125,1.999,-0.4307
1814,-0.3135,1.999,0.1396
1814,-0.29,1.999,0.4277
1815,-0.3281,1.999,0.4922
1814,-0.5479,1.999,0.9697
1815,-0.0479,1.999,0.7646
1814,-0.1191,1.999,0.8232
1814,-0.1973,1.999,1.0
1815,-0.1885,1.999,0.9375
1814,-0.1953,1.999,0.8906
1814,-0.2188,1.999,0.9023
1813,-0.2197,1.999,0.8828
1815,-0.2031,1.999,0.9248
1815,-0.1846,1.999,0.9219
1814,-0.1885,1.999,0.9131
1813,-0.1865,1.999,0.9053
1813,-0.1816,1.999,0.9092
1813,-0.1885,1.999,0.9297
1814,-0.1846,1.999,0.9375
1814,-0.1797,1.999,0.9023
1814,-0.1807,1.999,0.9297
1814,-0.1816,1.999,0.8896
1814,-0.1758,1.999,0.9355
1814,-0.1689,1.999,0.9248
1813,-0.1758,1.999,0.9131
1814,-0.1807,1.999,0.8975
1813,-0.1895,1.999,0.9219
1813,-0.1885,1.999,0.9209
1813,-0.1807,1.999,0.9023
1813,-0.1807,1.999,0.9023
1813,-0.1807,1.999,0.918
1813,-0.1885,1.999,0.9209
1814,-0.1758,1.999,0.915
1813,-0.1865,1.999,0.9336
1812,-0.1865,1.999,0.9248
1812,-0.1875,1.999,0.9209
1812,-0.1787,1.999,0.8984
1812,-0.1797,1.999,0.9199
1812,-0.1807,1.999,0.9297
1812,-0.1836,1.999,0.9404
1813,-0.1992,1.999,0.9131
1814,-0.1885,1.999,0.9023
1812,-0.1758,1.999,0.918
1813,-0.1641,1.999,0.915
1813,-0.165,1.999,0.9053
1813,-0.1729,1.999,0.9248
1812,-0.1729,1.999,0.9199
1815,-0.1641,1.999,0.9199
1815,-0.1729,1.999,0.917
1815,-0.1758,1.999,0.8818
1815,-0.1689,1.999,0.9092
1815,-0.1787,1.999,0.918
1815,-0.1787,1.999,0.9219
1815,-0.1758,1.999,0.918
1815,-0.1787,1.999,0.915
1814,-0.1758,1.999,0.9248
1815,-0.1797,1.999,0.918
1814,-0.1836,1.999,0.915
1814,-0.1807,1.999,0.9209
1815,-0.1689,1.999,0.9248
1815,-0.165,1.999,0.8896
1815,-0.1689,1.999,0.8887
1815,-0.1641,1.999,0.9023
1815,-0.168,1.999,0.9141
1815,-0.1738,1.999,0.918
1814,-0.168,1.999,0.918
1814,-0.1611,1.999,0.9092
1815,-0.1758,1.999,0.9229
1814,-0.1729,1.999,0.9121
1815,-0.166,1.999,0.9053
1814,-0.166,1.999,0.9219
1814,-0.165,1.999,0.9131
1815,-0.1729,1.999,0.9072
1814,-0.1719,1.999,0.9219
1814,-0.1641,1.999,0.915
1813,-0.165,1.999,0.9199
1815,-0.165,1.999,0.9141
1815,-0.166,1.999,0.9092
1814,-0.1689,1.999,0.9199
1813,-0.1729,1.999,0.9336
1813,-0.1641,1.999,0.9053
1813,-0.1641,1.999,0.9277
1814,-0.1582,1.999,0.9209
1814,-0.1602,1.999,0.9121
1814,-0.1641,1.999,0.918
1814,-0.1563,1.999,0.9053
1814,-0.1602,1.999,0.9307
1814,-0.166,1.999,0.9121
1813,-0.165,1.999,0.915
1814,-0.1602,1.999,0.9297
1813,-0.1602,1.999,0.9092
1813,-0.1641,1.999,0.9209
1813,-0.1563,1.999,0.9131
1813,-0.1602,1.999,0.9229
1813,-0.1641,1.999,0.9297
1813,-0.1641,1.999,0.9092
1814,-0.166,1.999,0.9248
1813,-0.1563,1.999,0.917
1812,-0.1631,1.999,0.918
1812,-0.1572,1.999,0.9199
1812,-0.1641,1.999,0.9307
1812,-0.1533,1.999,0.9229
1812,-0.1563,1.999,0.9307
1812,-0.1582,1.999,0.9092
1813,-0.1602,1.999,0.9072
1814,-0.1563,1.999,0.9131
1812,-0.1494,1.999,0.9131
1813,-0.166,1.999,0.9131
1813,-0.1689,1.999,0.9297
1813,-0.1602,1.999,0.9219
1812,-0.1553,1.999,0.9258
1813,-0.1494,1.999,0.9053
1812,-0.1494,1.999,0.9053
1813,-0.1523,1.999,0.9209
1812,-0.1445,1.999,0.9072
1812,-0.1631,1.999,0.9219
1811,-0.1533,1.999,0.9209
1812,-0.1484,1.999,0.9053
1811,-0.1553,1.999,0.9248
1812,-0.1533,1.999,0.9023
1812,-0.1582,1.999,0.918
1811,-0.1533,1.999,0.915
1811,-0.1533,1.999,0.9121
1811,-0.1563,1.999,0.8984
1812,-0.1563,1.999,0.9092
1812,-0.1602,1.999,0.9219
1812,-0.1582,1.999,0.9287
1812,-0.1641,1.999,0.9199
1813,-0.2041,1.999,0.9404
1812,-0.2178,1.999,0.8965
1812,-0.2891,1.999,0.9678
1812,-0.3906,1.999,0.7715
1812,-0.4766,1.999,0.6445
1813,-0.4238,1.999,0.3213
1812,-0.4307,1.999,0.2402
1812,-0.3682,1.999,0.0469
1811,-0.3057,1.999,-0.1025
1812,-0.2734,1.999,-0.0146
1812,-0.2383,1.999,-0.0703
1812,-0.1953,1.999,-0.085
1812,-0.166,1.999,-0.0713
1812,-0.168,1.999,-0.0303
1811,-0.1602,1.999,-0.041
1812,-0.1631,1.999,-0.0127
1812,-0.249,1.999,0.1387
1812,-0.1602,1.999,0.0352
1812,-0.1797,1.999,0.0498
1813,-0.1816,1.999,0.0117
1812,-0.1963,1.999,0.0391
1812,-0.1885,1.999,0.0234
1812,-0.1865,1.999,0.0186
1812,-0.1807,1.999,0.0078
1811,-0.1885,1.999,-0.0078
1812,-0.1758,1.999,-0.0156
1812,-0.1875,1.999,-0.0078
1811,-0.1895,1.999,0.0186
1811,-0.1875,1.999,0.0166
1812,-0.1807,1.999,-0.0098
1811,-0.1885,1.999,0.0039
1813,-0.1885,1.999,0.0029
1812,-0.1885,1.999,0.0078
1812,-0.1846,1.999,0.0029
1813,-0.207,1.999,0.0234
1813,-0.2002,1.999,0.0039
1812,-0.2051,1.999,0.0156
1812,-0.1914,1.999,0.0234
1812,-0.1885,1.999,0.0137
1812,-0.2002,1.999,0.0234
1813,-0.2051,1.999,0.0215
1813,-0.2031,1.999,0.0117
1813,-0.2021,1.999,0.0029
1812,-0.2021,1.999,0.0146
1812,-0.207,1.999,-0.0156
1812,-0.1963,1.999,-0.0078
1811,-0.2158,1.999,0.0059
1813,-0.2148,1.999,0.0137
1812,-0.208,1.999,-0.0039
1813,-0.2002,1.999,0.0029
1812,-0.2109,1.999,-0.0098
1812,-0.2119,1.999,-0.0088
1811,-0.2197,1.999,-0.0146
1812,-0.2236,1.999,0.0
1811,-0.2158,1.999,-0.0273
1812,-0.2051,1.999,-0.0332
1812,-0.2119,1.999,-0.0518
1811,-0.2197,1.999,-0.0391
1811,-0.2158,1.999,-0.0479
1811,-0.2266,1.999,-0.0322
1812,-0.2197,1.999,-0.0313
1812,-0.2266,1.999,-0.0361
1812,-0.2266,1.999,-0.0352
1812,-0.2188,1.999,-0.0361
1813,-0.2197,1.999,-0.0313
1812,-0.2129,1.999,-0.0381
1812,-0.2178,1.999,-0.0391
1812,-0.2197,1.999,-0.0322
1812,-0.2158,1.999,-0.0391
1813,-0.2197,1.999,-0.0313
1812,-0.2383,1.999,-0.0557
1812,-0.2207,1.999,-0.0928
1811,-0.2334,1.999,-0.0791
1812,-0.2227,1.999,-0.1182
1812,-0.2256,1.999,-0.0928
